date,Sunrise/Sunset Sunrise Sunrise,Sunrise/Sunset Sunset Sunset,Daylength Length Length,Daylength Diff. Diff.,Astronomical Twilight Start Start,Astronomical Twilight End End,Nautical Twilight Start Start,Nautical Twilight End End,Civil Twilight Start Start,Civil Twilight End End,Solar Noon Time Time,Solar Noon Mil. mi Mil. mi
2024-01-23,8:01 am ↑ (121°),4:43 pm ↑ (239°),8:41:39,+2:51,6:03 am,6:41 pm,6:43 am,6:01 pm,7:24 am,5:20 pm,12:22 pm (19.1°),91.489
2024-01-24,8:00 am ↑ (121°),4:44 pm ↑ (239°),8:44:34,+2:54,6:02 am,6:42 pm,6:42 am,6:03 pm,7:23 am,5:22 pm,12:22 pm (19.3°),91.498
2024-01-25,7:59 am ↑ (120°),4:46 pm ↑ (240°),8:47:32,+2:58,6:01 am,6:44 pm,6:41 am,6:04 pm,7:21 am,5:23 pm,12:22 pm (19.6°),91.508
2024-01-26,7:57 am ↑ (120°),4:48 pm ↑ (240°),8:50:34,+3:01,6:00 am,6:45 pm,6:40 am,6:06 pm,7:20 am,5:25 pm,12:22 pm (19.8°),91.518
2024-01-27,7:56 am ↑ (120°),4:50 pm ↑ (241°),8:53:38,+3:04,5:59 am,6:46 pm,6:38 am,6:07 pm,7:19 am,5:26 pm,12:22 pm (20.1°),91.528
2024-01-28,7:55 am ↑ (119°),4:51 pm ↑ (241°),8:56:45,+3:07,5:58 am,6:48 pm,6:37 am,6:09 pm,7:18 am,5:28 pm,12:23 pm (20.3°),91.540
2024-01-29,7:53 am ↑ (119°),4:53 pm ↑ (242°),8:59:56,+3:10,5:57 am,6:49 pm,6:36 am,6:10 pm,7:17 am,5:30 pm,12:23 pm (20.6°),91.551
2024-01-30,7:52 am ↑ (118°),4:55 pm ↑ (242°),9:03:09,+3:12,5:56 am,6:51 pm,6:35 am,6:12 pm,7:15 am,5:31 pm,12:23 pm (20.9°),91.564
2024-01-31,7:50 am ↑ (118°),4:57 pm ↑ (243°),9:06:24,+3:15,5:55 am,6:52 pm,6:34 am,6:13 pm,7:14 am,5:33 pm,12:23 pm (21.1°),91.576
,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.
2024-02-01,7:49 am ↑ (117°),4:59 pm ↑ (243°),9:09:42,+3:18,5:53 am,6:54 pm,6:32 am,6:15 pm,7:13 am,5:35 pm,12:23 pm (21.4°),91.589
2024-02-02,7:47 am ↑ (117°),5:00 pm ↑ (244°),9:13:03,+3:20,5:52 am,6:55 pm,6:31 am,6:16 pm,7:11 am,5:36 pm,12:23 pm (21.7°),91.603
2024-02-03,7:46 am ↑ (116°),5:02 pm ↑ (244°),9:16:26,+3:22,5:51 am,6:57 pm,6:30 am,6:18 pm,7:10 am,5:38 pm,12:24 pm (22.0°),91.617
2024-02-04,7:44 am ↑ (116°),5:04 pm ↑ (245°),9:19:51,+3:25,5:50 am,6:59 pm,6:28 am,6:20 pm,7:08 am,5:40 pm,12:24 pm (22.3°),91.632
2024-02-05,7:42 am ↑ (115°),5:06 pm ↑ (245°),9:23:18,+3:27,5:48 am,7:00 pm,6:27 am,6:21 pm,7:07 am,5:41 pm,12:24 pm (22.6°),91.646
2024-02-06,7:41 am ↑ (115°),5:08 pm ↑ (246°),9:26:47,+3:29,5:47 am,7:02 pm,6:26 am,6:23 pm,7:05 am,5:43 pm,12:24 pm (22.9°),91.662
2024-02-07,7:39 am ↑ (114°),5:09 pm ↑ (246°),9:30:18,+3:31,5:45 am,7:03 pm,6:24 am,6:25 pm,7:04 am,5:45 pm,12:24 pm (23.2°),91.677
2024-02-08,7:37 am ↑ (114°),5:11 pm ↑ (247°),9:33:51,+3:32,5:44 am,7:05 pm,6:23 am,6:26 pm,7:02 am,5:47 pm,12:24 pm (23.5°),91.693
2024-02-09,7:36 am ↑ (113°),5:13 pm ↑ (247°),9:37:25,+3:34,5:42 am,7:07 pm,6:21 am,6:28 pm,7:00 am,5:48 pm,12:24 pm (23.8°),91.709
2024-02-10,7:34 am ↑ (113°),5:15 pm ↑ (248°),9:41:01,+3:36,5:41 am,7:08 pm,6:19 am,6:29 pm,6:59 am,5:50 pm,12:24 pm (24.2°),91.725
2024-02-11,7:32 am ↑ (112°),5:17 pm ↑ (248°),9:44:39,+3:37,5:39 am,7:10 pm,6:18 am,6:31 pm,6:57 am,5:52 pm,12:24 pm (24.5°),91.741
2024-02-12,7:30 am ↑ (111°),5:19 pm ↑ (249°),9:48:18,+3:39,5:38 am,7:11 pm,6:16 am,6:33 pm,6:55 am,5:53 pm,12:24 pm (24.8°),91.758
2024-02-13,7:28 am ↑ (111°),5:20 pm ↑ (249°),9:51:59,+3:40,5:36 am,7:13 pm,6:15 am,6:34 pm,6:54 am,5:55 pm,12:24 pm (25.1°),91.775
2024-02-14,7:27 am ↑ (110°),5:22 pm ↑ (250°),9:55:40,+3:41,5:34 am,7:15 pm,6:13 am,6:36 pm,6:52 am,5:57 pm,12:24 pm (25.5°),91.792
2024-02-15,7:25 am ↑ (110°),5:24 pm ↑ (250°),9:59:23,+3:43,5:33 am,7:16 pm,6:11 am,6:38 pm,6:50 am,5:59 pm,12:24 pm (25.8°),91.809
2024-02-16,7:23 am ↑ (109°),5:26 pm ↑ (251°),10:03:08,+3:44,5:31 am,7:18 pm,6:09 am,6:39 pm,6:48 am,6:00 pm,12:24 pm (26.2°),91.827
2024-02-17,7:21 am ↑ (109°),5:28 pm ↑ (252°),10:06:53,+3:45,5:29 am,7:20 pm,6:08 am,6:41 pm,6:46 am,6:02 pm,12:24 pm (26.5°),91.845
2024-02-18,7:19 am ↑ (108°),5:30 pm ↑ (252°),10:10:39,+3:46,5:27 am,7:21 pm,6:06 am,6:43 pm,6:45 am,6:04 pm,12:24 pm (26.9°),91.864
2024-02-19,7:17 am ↑ (107°),5:31 pm ↑ (253°),10:14:26,+3:47,5:25 am,7:23 pm,6:04 am,6:44 pm,6:43 am,6:06 pm,12:24 pm (27.2°),91.882
2024-02-20,7:15 am ↑ (107°),5:33 pm ↑ (253°),10:18:15,+3:48,5:24 am,7:25 pm,6:02 am,6:46 pm,6:41 am,6:07 pm,12:24 pm (27.6°),91.902
2024-02-21,7:13 am ↑ (106°),5:35 pm ↑ (254°),10:22:03,+3:48,5:22 am,7:26 pm,6:00 am,6:48 pm,6:39 am,6:09 pm,12:23 pm (27.9°),91.921
2024-02-22,7:11 am ↑ (106°),5:37 pm ↑ (255°),10:25:53,+3:49,5:20 am,7:28 pm,5:58 am,6:49 pm,6:37 am,6:11 pm,12:23 pm (28.3°),91.941
2024-02-23,7:09 am ↑ (105°),5:39 pm ↑ (255°),10:29:44,+3:50,5:18 am,7:30 pm,5:56 am,6:51 pm,6:35 am,6:12 pm,12:23 pm (28.7°),91.962
2024-02-24,7:07 am ↑ (104°),5:40 pm ↑ (256°),10:33:35,+3:51,5:16 am,7:31 pm,5:54 am,6:53 pm,6:33 am,6:14 pm,12:23 pm (29.0°),91.982
2024-02-25,7:05 am ↑ (104°),5:42 pm ↑ (256°),10:37:27,+3:51,5:14 am,7:33 pm,5:52 am,6:55 pm,6:31 am,6:16 pm,12:23 pm (29.4°),92.004
2024-02-26,7:03 am ↑ (103°),5:44 pm ↑ (257°),10:41:19,+3:52,5:12 am,7:35 pm,5:50 am,6:56 pm,6:29 am,6:18 pm,12:23 pm (29.8°),92.025
2024-02-27,7:00 am ↑ (103°),5:46 pm ↑ (258°),10:45:12,+3:53,5:10 am,7:37 pm,5:48 am,6:58 pm,6:27 am,6:19 pm,12:23 pm (30.1°),92.047
2024-02-28,6:58 am ↑ (102°),5:47 pm ↑ (258°),10:49:06,+3:53,5:08 am,7:38 pm,5:46 am,7:00 pm,6:25 am,6:21 pm,12:22 pm (30.5°),92.070
2024-02-29,6:56 am ↑ (101°),5:49 pm ↑ (259°),10:53:00,+3:54,5:05 am,7:40 pm,5:44 am,7:01 pm,6:23 am,6:23 pm,12:22 pm (30.9°),92.092
,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. They take into account refraction. Dates are based on the Gregorian calendar.
2024-03-01,6:54 am ↑ (101°),5:51 pm ↑ (259°),10:56:55,+3:54,5:03 am,7:42 pm,5:42 am,7:03 pm,6:21 am,6:24 pm,12:22 pm (31.3°),92.115
2024-03-02,6:52 am ↑ (100°),5:53 pm ↑ (260°),11:00:50,+3:55,5:01 am,7:44 pm,5:40 am,7:05 pm,6:19 am,6:26 pm,12:22 pm (31.7°),92.139
2024-03-03,6:50 am ↑ (100°),5:54 pm ↑ (261°),11:04:45,+3:55,4:59 am,7:46 pm,5:38 am,7:06 pm,6:16 am,6:28 pm,12:22 pm (32.0°),92.162
2024-03-04,6:48 am ↑ (99°),5:56 pm ↑ (261°),11:08:41,+3:55,4:57 am,7:47 pm,5:36 am,7:08 pm,6:14 am,6:30 pm,12:21 pm (32.4°),92.186
2024-03-05,6:45 am ↑ (98°),5:58 pm ↑ (262°),11:12:38,+3:56,4:55 am,7:49 pm,5:34 am,7:10 pm,6:12 am,6:31 pm,12:21 pm (32.8°),92.210
2024-03-06,6:43 am ↑ (98°),6:00 pm ↑ (263°),11:16:34,+3:56,4:52 am,7:51 pm,5:31 am,7:12 pm,6:10 am,6:33 pm,12:21 pm (33.2°),92.234
2024-03-07,6:41 am ↑ (97°),6:01 pm ↑ (263°),11:20:31,+3:56,4:50 am,7:53 pm,5:29 am,7:13 pm,6:08 am,6:35 pm,12:21 pm (33.6°),92.259
2024-03-08,6:39 am ↑ (96°),6:03 pm ↑ (264°),11:24:28,+3:57,4:48 am,7:55 pm,5:27 am,7:15 pm,6:06 am,6:36 pm,12:20 pm (34.0°),92.283
2024-03-09,6:36 am ↑ (96°),6:05 pm ↑ (264°),11:28:25,+3:57,4:45 am,7:56 pm,5:25 am,7:17 pm,6:03 am,6:38 pm,12:20 pm (34.4°),92.308
2024-03-10,6:34 am ↑ (95°),6:07 pm ↑ (265°),11:32:23,+3:57,4:43 am,7:58 pm,5:22 am,7:19 pm,6:01 am,6:40 pm,12:20 pm (34.8°),92.332
2024-03-11,6:32 am ↑ (95°),6:08 pm ↑ (266°),11:36:20,+3:57,4:41 am,8:00 pm,5:20 am,7:20 pm,5:59 am,6:42 pm,12:20 pm (35.2°),92.357
2024-03-12,6:30 am ↑ (94°),6:10 pm ↑ (266°),11:40:18,+3:57,4:38 am,8:02 pm,5:18 am,7:22 pm,5:57 am,6:43 pm,12:19 pm (35.6°),92.381
2024-03-13,6:28 am ↑ (93°),6:12 pm ↑ (267°),11:44:16,+3:57,4:36 am,8:04 pm,5:16 am,7:24 pm,5:54 am,6:45 pm,12:19 pm (35.9°),92.406
2024-03-14,6:25 am ↑ (93°),6:14 pm ↑ (268°),11:48:14,+3:57,4:33 am,8:06 pm,5:13 am,7:26 pm,5:52 am,6:47 pm,12:19 pm (36.3°),92.431
2024-03-15,6:23 am ↑ (92°),6:15 pm ↑ (268°),11:52:12,+3:58,4:31 am,8:08 pm,5:11 am,7:27 pm,5:50 am,6:48 pm,12:19 pm (36.7°),92.455
2024-03-16,6:21 am ↑ (91°),6:17 pm ↑ (269°),11:56:10,+3:58,4:28 am,8:10 pm,5:09 am,7:29 pm,5:48 am,6:50 pm,12:18 pm (37.1°),92.480
2024-03-17,6:18 am ↑ (91°),6:19 pm ↑ (270°),12:00:08,+3:58,4:26 am,8:12 pm,5:06 am,7:31 pm,5:45 am,6:52 pm,12:18 pm (37.5°),92.505
2024-03-18,6:16 am ↑ (90°),6:20 pm ↑ (270°),12:04:06,+3:58,4:23 am,8:14 pm,5:04 am,7:33 pm,5:43 am,6:54 pm,12:18 pm (37.9°),92.530
2024-03-19,6:14 am ↑ (90°),6:22 pm ↑ (271°),12:08:04,+3:58,4:21 am,8:16 pm,5:02 am,7:35 pm,5:41 am,6:55 pm,12:17 pm (38.3°),92.556
2024-03-20,6:12 am ↑ (89°),6:24 pm ↑ (271°),12:12:02,+3:57,4:18 am,8:18 pm,4:59 am,7:36 pm,5:38 am,6:57 pm,12:17 pm (38.7°),92.581
2024-03-21,6:09 am ↑ (88°),6:25 pm ↑ (272°),12:16:00,+3:57,4:16 am,8:20 pm,4:57 am,7:38 pm,5:36 am,6:59 pm,12:17 pm (39.1°),92.607
2024-03-22,6:07 am ↑ (88°),6:27 pm ↑ (273°),12:19:58,+3:57,4:13 am,8:22 pm,4:54 am,7:40 pm,5:34 am,7:00 pm,12:17 pm (39.5°),92.632
2024-03-23,6:05 am ↑ (87°),6:29 pm ↑ (273°),12:23:56,+3:57,4:10 am,8:24 pm,4:52 am,7:42 pm,5:31 am,7:02 pm,12:16 pm (39.9°),92.658
2024-03-24,6:03 am ↑ (86°),6:30 pm ↑ (274°),12:27:53,+3:57,4:08 am,8:26 pm,4:49 am,7:44 pm,5:29 am,7:04 pm,12:16 pm (40.3°),92.685
2024-03-25,6:00 am ↑ (86°),6:32 pm ↑ (275°),12:31:51,+3:57,4:05 am,8:28 pm,4:47 am,7:46 pm,5:27 am,7:06 pm,12:16 pm (40.7°),92.711
2024-03-26,5:58 am ↑ (85°),6:34 pm ↑ (275°),12:35:48,+3:57,4:02 am,8:30 pm,4:45 am,7:48 pm,5:24 am,7:07 pm,12:15 pm (41.1°),92.737
2024-03-27,5:56 am ↑ (84°),6:35 pm ↑ (276°),12:39:45,+3:57,4:00 am,8:32 pm,4:42 am,7:49 pm,5:22 am,7:09 pm,12:15 pm (41.5°),92.764
2024-03-28,5:53 am ↑ (84°),6:37 pm ↑ (277°),12:43:42,+3:56,3:57 am,8:34 pm,4:40 am,7:51 pm,5:20 am,7:11 pm,12:15 pm (41.9°),92.791
2024-03-29,5:51 am ↑ (83°),6:39 pm ↑ (277°),12:47:39,+3:56,3:54 am,8:36 pm,4:37 am,7:53 pm,5:17 am,7:13 pm,12:14 pm (42.2°),92.818
2024-03-30,5:49 am ↑ (83°),6:40 pm ↑ (278°),12:51:35,+3:56,3:51 am,8:39 pm,4:35 am,7:55 pm,5:15 am,7:14 pm,12:14 pm (42.6°),92.845
2024-03-01,Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),Note: hours shift because clocks change forward 1 hour. (See the note below this table for details)
2024-03-31,6:47 am ↑ (82°),7:42 pm ↑ (278°),12:55:31,+3:56,4:49 am,9:41 pm,5:32 am,8:57 pm,6:13 am,8:16 pm,1:14 pm (43.0°),92.872
,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.
2024-04-01,6:44 am ↑ (81°),7:44 pm ↑ (279°),12:59:27,+3:55,4:46 am,9:43 pm,5:30 am,8:59 pm,6:10 am,8:18 pm,1:14 pm (43.4°),92.900
2024-04-02,6:42 am ↑ (81°),7:45 pm ↑ (280°),13:03:23,+3:55,4:43 am,9:45 pm,5:27 am,9:01 pm,6:08 am,8:20 pm,1:13 pm (43.8°),92.927
2024-04-03,6:40 am ↑ (80°),7:47 pm ↑ (280°),13:07:18,+3:55,4:40 am,9:48 pm,5:25 am,9:03 pm,6:06 am,8:21 pm,1:13 pm (44.2°),92.954
2024-04-04,6:38 am ↑ (79°),7:49 pm ↑ (281°),13:11:13,+3:55,4:37 am,9:50 pm,5:22 am,9:05 pm,6:03 am,8:23 pm,1:13 pm (44.5°),92.981
2024-04-05,6:35 am ↑ (79°),7:51 pm ↑ (281°),13:15:08,+3:54,4:35 am,9:52 pm,5:20 am,9:07 pm,6:01 am,8:25 pm,1:12 pm (44.9°),93.009
2024-04-06,6:33 am ↑ (78°),7:52 pm ↑ (282°),13:19:02,+3:54,4:32 am,9:54 pm,5:17 am,9:09 pm,5:59 am,8:27 pm,1:12 pm (45.3°),93.036
2024-04-07,6:31 am ↑ (78°),7:54 pm ↑ (283°),13:22:56,+3:53,4:29 am,9:57 pm,5:15 am,9:11 pm,5:56 am,8:28 pm,1:12 pm (45.7°),93.062
2024-04-08,6:29 am ↑ (77°),7:56 pm ↑ (283°),13:26:50,+3:53,4:26 am,9:59 pm,5:12 am,9:13 pm,5:54 am,8:30 pm,1:12 pm (46.1°),93.089
2024-04-09,6:26 am ↑ (76°),7:57 pm ↑ (284°),13:30:43,+3:52,4:23 am,10:02 pm,5:09 am,9:15 pm,5:52 am,8:32 pm,1:11 pm (46.4°),93.116
2024-04-10,6:24 am ↑ (76°),7:59 pm ↑ (285°),13:34:35,+3:52,4:20 am,10:04 pm,5:07 am,9:17 pm,5:49 am,8:34 pm,1:11 pm (46.8°),93.142
2024-04-11,6:22 am ↑ (75°),8:01 pm ↑ (285°),13:38:27,+3:51,4:17 am,10:07 pm,5:04 am,9:19 pm,5:47 am,8:36 pm,1:11 pm (47.2°),93.168
2024-04-12,6:20 am ↑ (75°),8:02 pm ↑ (286°),13:42:18,+3:51,4:14 am,10:09 pm,5:02 am,9:21 pm,5:45 am,8:37 pm,1:11 pm (47.5°),93.194
2024-04-13,6:18 am ↑ (74°),8:04 pm ↑ (286°),13:46:08,+3:50,4:11 am,10:12 pm,4:59 am,9:23 pm,5:43 am,8:39 pm,1:10 pm (47.9°),93.220
2024-04-14,6:16 am ↑ (73°),8:06 pm ↑ (287°),13:49:58,+3:49,4:08 am,10:14 pm,4:57 am,9:25 pm,5:40 am,8:41 pm,1:10 pm (48.2°),93.245
2024-04-15,6:13 am ↑ (73°),8:07 pm ↑ (288°),13:53:47,+3:49,4:05 am,10:17 pm,4:54 am,9:27 pm,5:38 am,8:43 pm,1:10 pm (48.6°),93.271
2024-04-16,6:11 am ↑ (72°),8:09 pm ↑ (288°),13:57:35,+3:48,4:02 am,10:20 pm,4:52 am,9:29 pm,5:36 am,8:45 pm,1:10 pm (49.0°),93.296
2024-04-17,6:09 am ↑ (72°),8:11 pm ↑ (289°),14:01:23,+3:47,3:59 am,10:22 pm,4:49 am,9:31 pm,5:33 am,8:46 pm,1:09 pm (49.3°),93.322
2024-04-18,6:07 am ↑ (71°),8:12 pm ↑ (289°),14:05:09,+3:46,3:55 am,10:25 pm,4:46 am,9:33 pm,5:31 am,8:48 pm,1:09 pm (49.7°),93.347
2024-04-19,6:05 am ↑ (70°),8:14 pm ↑ (290°),14:08:55,+3:45,3:52 am,10:28 pm,4:44 am,9:36 pm,5:29 am,8:50 pm,1:09 pm (50.0°),93.372
2024-04-20,6:03 am ↑ (70°),8:16 pm ↑ (290°),14:12:40,+3:44,3:49 am,10:31 pm,4:41 am,9:38 pm,5:27 am,8:52 pm,1:09 pm (50.3°),93.397
2024-04-21,6:01 am ↑ (69°),8:17 pm ↑ (291°),14:16:23,+3:43,3:46 am,10:33 pm,4:39 am,9:40 pm,5:24 am,8:54 pm,1:08 pm (50.7°),93.422
2024-04-22,5:59 am ↑ (69°),8:19 pm ↑ (292°),14:20:06,+3:42,3:43 am,10:36 pm,4:36 am,9:42 pm,5:22 am,8:56 pm,1:08 pm (51.0°),93.447
2024-04-23,5:57 am ↑ (68°),8:21 pm ↑ (292°),14:23:48,+3:41,3:39 am,10:39 pm,4:34 am,9:44 pm,5:20 am,8:57 pm,1:08 pm (51.3°),93.472
2024-04-24,5:55 am ↑ (68°),8:22 pm ↑ (293°),14:27:28,+3:40,3:36 am,10:42 pm,4:31 am,9:46 pm,5:18 am,8:59 pm,1:08 pm (51.7°),93.497
2024-04-25,5:53 am ↑ (67°),8:24 pm ↑ (293°),14:31:07,+3:39,3:33 am,10:45 pm,4:29 am,9:49 pm,5:16 am,9:01 pm,1:08 pm (52.0°),93.522
2024-04-26,5:51 am ↑ (67°),8:25 pm ↑ (294°),14:34:45,+3:37,3:29 am,10:48 pm,4:26 am,9:51 pm,5:13 am,9:03 pm,1:08 pm (52.3°),93.547
