OBJECTID,SITE_NAME_radius,X_radius,Y_radius,EXTENT_EASTING_1_radius,EXTENT_NORTHING_1_radius,EXTENT_EASTING_2_radius,EXTENT_NORTHING_2_radius,LATIN_NAME_radius,COMMON_NAME_radius,FULL_COMMON_NAME_radius,TREE_SPECIES_radius,CROWN_WIDTH_radius,CROWN_HEIGHT_radius,DBH_radius,PLANTING_SEASON_radius,CROWN_AREA_MIDPOINT,SENSOR_ID,ASSET_ID,SITE_NAME_full,PLOT_NO,FEATURE_ID,LOCATION,TYPE,PRIM_MEAS,UNIT,SITE_CODE,FEAT_GP,X_full,Y_full,DEAD,CLASSIFICATION,EXTENT_EASTING_1_full,EXTENT_NORTHING_1_full,EXTENT_EASTING_2_full,EXTENT_NORTHING_2_full,LAYERS,LATIN_CODE,LATIN_NAME_full,FEATURE_TYPE_NAME,COMMON_NAME_full,FULL_COMMON_NAME_full,CROWN_HEIGHT_full,CROWN_WIDTH_full,CROWN_AREA,DBH_full,LOCATION_RISK_ZONE,EPICORMIC,INSURANCE_CLAIM_HISTORY,CENTRAL_ASSET_ID,CONTRACT_AREA_NAME,CUSTOMER,DEAD_FLAG,FEATURE_GROUP,FEATURE_GROUP_CODE,FEATURETYPECODE,NOTES,REVISION_NO,TREE_SPECIES_full,TREE_MODIFIED_RISK,CANOPY_SIZE_AT_MATURITY,SPONSORSHIP,SPONSORSHIP_PACKAGE,PLANTING_SEASON_full,PLANTING_FUNDER,PLANTING_NOTES,SPECIES_NOTES,TREE_TYPE,JOBS_REQUIRED,SERVICES_VISIBILITY,CONSTRAINTS,CANCELLATION_REASON,NOTES_FOR_STATUS,CANCELLATION_NOTES,created_user,created_date,last_edited_user,last_edited_date,DBH_clean,CROWN_HEIGHT_clean,tree_group,CROWN_HEIGHT_interpolated,height_imputed_flag,height_model_source,height_model_group
26609881,Dove Street South,358866.54,173768.98,358866.54,173768.98,358866.54,173768.98,Alnus cordata,Alder,Italian alder,Alnus cordata,10.0,11.0,0.42,Not Applicable,60.05,672,PK00063348,Dove Street South,200001.0,,,PK: Tree - Highways Adopted,1,Number,4531836,TR,358866.54,173768.98,N,RY45,358866.54,173768.98,358866.54,173768.98,,ALCO,Alnus cordata,,Alder,Italian alder,11 Metres,10 Metres,20.1 - 100 M2 (New),42 Centimetres,Risk Zone D (5),,No Code Allocated,PK00063348,,,N,,TR,,,,Alnus cordata,Risk Zone D (5),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,42.0,11.0,deciduous,11.0,0.0,observed,observed
26609882,Dove Street South,358863.71,173766.55,358863.71,173766.55,358863.71,173766.55,Alnus incana,Alder,Grey alder,Alnus incana,7.0,8.0,0.23,Not Applicable,60.05,672,PK00063349,Dove Street South,200002.0,,,PK: Tree - Highways Adopted,1,Number,4531836,TR,358863.71,173766.55,N,RY45,358863.71,173766.55,358863.71,173766.55,,ALIN,Alnus incana,,Alder,Grey alder,8 Metres,7 Metres,20.1 - 100 M2 (New),23 Centimetres,Risk Zone D (5),,No Code Allocated,PK00063349,,,N,,TR,,,,Alnus incana,Risk Zone D (5),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,23.0,8.0,deciduous,8.0,0.0,observed,observed
26609883,Dove Street South,358856.52,173759.85,358856.52,173759.85,358856.52,173759.85,Alnus incana,Alder,Grey alder,Alnus incana,10.0,10.0,0.41,Not Applicable,60.05,672,PK00063350,Dove Street South,200003.0,,,PK: Tree - Highways Adopted,1,Number,4531836,TR,358856.52,173759.85,N,RY45,358856.52,173759.85,358856.52,173759.85,,ALIN,Alnus incana,,Alder,Grey alder,10 Metres,10 Metres,20.1 - 100 M2 (New),41 Centimetres,Risk Zone D (5),,No Code Allocated,PK00063350,,,N,,TR,,,,Alnus incana,Risk Zone D (5),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,41.0,10.0,deciduous,10.0,0.0,observed,observed
26609974,Campbell Street,359441.34,174079.3,359441.34,174079.3,359441.34,174079.3,Alnus - Species Unknown,Alder,Alder species,Alnus - Species Unknown,15.0,15.0,0.68,Not Applicable,275.05,452,PK34593,Campbell Street,200001.0,,,PK: Tree - Housing,1,Number,4532303,TR,359441.34,174079.3,N,RY04,359441.34,174079.3,359441.34,174079.3,,ALZZ,Alnus - Species Unknown,,Alder,Alder species,15 Metres,15 Metres,200.1 - 350 M2 (New),68 Centimetres,Risk Zone C (4),,No Code Allocated,PK34593,,,N,,TR,,,,Alnus - Species Unknown,Risk Zone C (4),Not Applicable,,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,68.0,15.0,deciduous,15.0,0.0,observed,observed
26609980,Kingsdown Parade,358633.46,173790.13,358633.46,173790.13,358633.46,173790.13,Sorbus aucuparia,Rowan,Rowan,Sorbus aucuparia,11.0,8.0,0.41,Not Applicable,60.05,672,PK00063353,Kingsdown Parade,200001.0,,,PK: Tree - Highways Adopted,1,Number,4532385,TR,358633.46,173790.13,N,RY45,358633.46,173790.13,358633.46,173790.13,,SOAU,Sorbus aucuparia,,Rowan,Rowan,8 Metres,11 Metres,20.1 - 100 M2 (New),41 Centimetres,Risk Zone C (4),,No Code Allocated,PK00063353,,,N,,TR,,,,Sorbus aucuparia,Risk Zone C (4),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,41.0,8.0,deciduous,8.0,0.0,observed,observed
26609982,Kingsdown Parade,358634.28,173791.51,358634.28,173791.51,358634.28,173791.51,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,,,0.06,Planting Season 23/24,,672,00820092,Kingsdown Parade,200001.5,,,PK: Tree - Highways Adopted,1,Number,4532385,TR,358634.28,173791.51,N,01,358634.28,173791.51,358634.28,173791.51,,GIBI,Ginkgo biloba,,Gingko,Maidenhair tree,No Code Allocated,No Code Allocated,,6 Centimetres,Newly Planted Tree,,No Code Allocated,00820092,,,N,,TR,,,,Ginkgo biloba,Newly Planted Tree,Not Applicable,Sponsored,,Planting Season 23/24,Tree Bristol - Private Sponsor,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,6.0,,deciduous,2.558305067441384,1.0,species_log,Gingko
26610102,Parson Street,357985.12,170493.56,357985.12,170493.56,357985.12,170493.56,Acer platanoides,Maple,Norway maple,Acer platanoides,7.0,7.0,0.24,Not Applicable,60.05,215,PK00063326,Parson Street,200001.0,,,PK: Tree - Highways Adopted,1,Number,4526885,TR,357985.12,170493.56,N,RY04,357985.12,170493.56,357985.12,170493.56,,ACPL,Acer platanoides,,Maple,Norway maple,7 Metres,7 Metres,20.1 - 100 M2 (New),24 Centimetres,Risk Zone B (3),,No Code Allocated,PK00063326,,,N,,TR,,,,Acer platanoides,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,24.0,7.0,deciduous,7.0,0.0,observed,observed
26610103,Parson Street,357989.47,170485.29,357989.47,170485.29,357989.47,170485.29,Acer platanoides,Maple,Norway maple,Acer platanoides,8.0,12.0,0.34,Not Applicable,60.05,215,PK00063327,Parson Street,200002.0,,,PK: Tree - Highways Adopted,1,Number,4526885,TR,357989.47,170485.29,N,RY04,357989.47,170485.29,357989.47,170485.29,,ACPL,Acer platanoides,,Maple,Norway maple,12 Metres,8 Metres,20.1 - 100 M2 (New),34 Centimetres,Risk Zone B (3),,No Code Allocated,PK00063327,,,N,,TR,,,,Acer platanoides,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,34.0,12.0,deciduous,12.0,0.0,observed,observed
26610104,Parson Street,358037.5,170408.39,358037.5,170408.39,358037.5,170408.39,Liriodendron tulipifera,Tulip Tree,Tulip tree,Liriodendron tulipifera,,,0.06,Planting Season 19/20,,215,PK00302785,Parson Street,200003.6,,,PK: Tree - Highways Adopted,1,Number,4526885,TR,358037.5,170408.39,N,RY04,358037.5,170408.39,358037.5,170408.39,,LITU,Liriodendron tulipifera,,Tulip Tree,Tulip tree,No Code Allocated,No Code Allocated,,6 Centimetres,Risk Zone B (3),,No Code Allocated,PK00302785,,,N,,TR,,,,Liriodendron tulipifera,Risk Zone B (3),Extra Large,Sponsored,,Planting Season 19/20,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,6.0,,deciduous,2.54609086895033,1.0,species_log,Tulip Tree
26610765,Trenchard Street,358473.5,173026.95,358473.5,173026.95,358473.5,173026.95,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,13.0,18.0,0.54,Not Applicable,150.05,501,PK00059570,Trenchard Street,200001.0,,,PK: Tree - Highways Adopted,1,Number,4538259,TR,358473.5,173026.95,N,RY45,358473.5,173026.95,358473.5,173026.95,,PLAC,Platanus x acerifolia,,Plane,London plane,18 Metres,13 Metres,100.1 - 200 M2 (New),54 Centimetres,Risk Zone C (4),,No Code Allocated,PK00059570,,,N,,TR,,,,Platanus x acerifolia,Risk Zone C (4),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,54.0,18.0,deciduous,18.0,0.0,observed,observed
26610766,Trenchard Street,358469.53,173024.01,358469.53,173024.01,358469.53,173024.01,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,18.0,18.0,0.55,Not Applicable,275.05,501,PK00059571,Trenchard Street,200002.0,,,PK: Tree - Highways Adopted,1,Number,4538259,TR,358469.53,173024.01,N,RY45,358469.53,173024.01,358469.53,173024.01,,PLAC,Platanus x acerifolia,,Plane,London plane,18 Metres,18 Metres,200.1 - 350 M2 (New),55 Centimetres,Risk Zone C (4),,No Code Allocated,PK00059571,,,N,,TR,,,,Platanus x acerifolia,Risk Zone C (4),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,55.0,18.0,deciduous,18.0,0.0,observed,observed
26610767,Trenchard Street,358382.3,172963.07,358382.3,172963.07,358382.3,172963.07,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,16.0,17.0,0.66,Not Applicable,275.05,501,PK00059578,Trenchard Street,200009.0,,,PK: Tree - Highways Adopted,1,Number,4538259,TR,358382.3,172963.07,N,RY45,358382.3,172963.07,358382.3,172963.07,,PLAC,Platanus x acerifolia,,Plane,London plane,17 Metres,16 Metres,200.1 - 350 M2 (New),66 Centimetres,Risk Zone B (3),,No Code Allocated,PK00059578,,,N,,TR,,,,Platanus x acerifolia,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,66.0,17.0,deciduous,17.0,0.0,observed,observed
26610768,Trenchard Street,358427.95,172978.88,358427.95,172978.88,358427.95,172978.88,Acer platanoides,Maple,Norway maple,Acer platanoides,9.0,14.0,0.41,Not Applicable,150.05,501,PK00059575,Trenchard Street,200006.0,,,PK: Tree - Highways Adopted,1,Number,4538259,TR,358427.95,172978.88,N,RY45,358427.95,172978.88,358427.95,172978.88,,ACPL,Acer platanoides,,Maple,Norway maple,14 Metres,9 Metres,100.1 - 200 M2 (New),41 Centimetres,Risk Zone C (4),,No Code Allocated,PK00059575,,,N,,TR,,,,Acer platanoides,Risk Zone C (4),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,41.0,14.0,deciduous,14.0,0.0,observed,observed
26610769,Trenchard Street,358422.67,172975.34,358422.67,172975.34,358422.67,172975.34,Acer platanoides,Maple,Norway maple,Acer platanoides,9.0,14.0,0.33,Not Applicable,150.05,501,PK00059576,Trenchard Street,200007.0,,,PK: Tree - Highways Adopted,1,Number,4538259,TR,358422.67,172975.34,N,RY45,358422.67,172975.34,358422.67,172975.34,,ACPL,Acer platanoides,,Maple,Norway maple,14 Metres,9 Metres,100.1 - 200 M2 (New),33 Centimetres,Risk Zone C (4),,No Code Allocated,PK00059576,,,N,,TR,,,,Acer platanoides,Risk Zone C (4),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,33.0,14.0,deciduous,14.0,0.0,observed,observed
26610770,Trenchard Street,358386.45,172964.19,358386.45,172964.19,358386.45,172964.19,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,18.0,21.0,0.8,Not Applicable,528.55,501,PK00059577,Trenchard Street,200008.0,,,PK: Tree - Highways Adopted,1,Number,4538259,TR,358386.45,172964.19,N,RY45,358386.45,172964.19,358386.45,172964.19,,PLAC,Platanus x acerifolia,,Plane,London plane,21 Metres,18 Metres,350.1 Plus M2 (New),80 Centimetres,Risk Zone B (3),,No Code Allocated,PK00059577,,,N,,TR,,,,Platanus x acerifolia,Risk Zone B (3),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,80.0,21.0,deciduous,21.0,0.0,observed,observed
26610773,Trenchard Street,358488.58,173040.21,358488.58,173040.21,358488.58,173040.21,Platanus x acerifolia,,,Platanus x acerifolia,16.0,16.0,0.65,Not Applicable,,501,PK00301933,Trenchard Street,200011.0,,,PK: Tree - Highways Adopted,1,Number,4538259,TR,358488.58,173040.21,N,RY04,358488.58,173040.21,358488.58,173040.21,,PXA,Platanus x acerifolia,,,,16 Metres,16 Metres,,65 Centimetres,Risk Zone C (4),,No Code Allocated,PK00301933,,,N,,TR,,,,Platanus x acerifolia,Risk Zone C (4),Not Applicable,No Code Allocated,,Not Applicable,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,65.0,16.0,other,16.0,0.0,observed,observed
26610931,Bloomfield Road,361162.02,171571.83,361162.02,171571.83,361162.02,171571.83,Ulmus 'New Horizon',Elm,Elm ' New Horizon',Ulmus 'New Horizon',6.0,8.0,0.23,Planting Season 11/12,10.0,203,PK00218209,Bloomfield Road,200003.0,,,PK: Tree - Highways Adopted,1,Number,4537500,TR,361162.02,171571.83,N,RY04,361162.02,171571.83,361162.02,171571.83,,ULNH,Ulmus 'New Horizon',,Elm,Elm ' New Horizon',8 Metres,6 Metres,Up to 20 M2 (New),23 Centimetres,Risk Zone B (3),,No Code Allocated,PK00218209,,,N,,TR,,,,Ulmus 'New Horizon',Risk Zone B (3),Medium,No Code Allocated,,Planting Season 11/12,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,PARKS_EDIT,2026/03/10 05:14:23+00,PARKS_EDIT,2026/03/10 05:14:23+00,23.0,8.0,deciduous,8.0,0.0,observed,observed
