OBJECTID,SiteID,Location,Year,Count,Historical_annual_data,NO2 2024,Annual mean NO2 concentration μg m3,Survey,Current_,x,y
29,295,Lamppost   16 Ashley Road St. Pauls,2024,12,"2010: 58.8, 2011: 60.7, 2012: 57.8, 2013: 57.2, 2014: 58.6, 2015: 63.3, 2016: 55.7, 2017: 65.1, 2018: 59.6, 2019: 48.1, 2020: 37.2, 2021: 44.5, 2022: 41, 2023: 34, 2024: 34.8",34.8,34.8,Post Stage Four,Yes,-287033.740015952,6704208.4476767
30,300,Facade Haart Estate Agents 755 Fishponds Road Fishponds,2024,12,"2010: 47, 2011: 52.8, 2012: 49.9, 2013: 48.5, 2014: 42.4, 2015: 45.9, 2016: 48.1, 2017: 45.9, 2018: 41.1, 2019: 35.1, 2020: 28.9, 2021: 28.7, 2022: 27.5, 2023: 21.2, 2024: 26.4",26.4,26.4,Post Stage Four,Yes,-281520.287175529,6706769.98297697
31,303,Facade   784 Muller Road Fishponds,2024,12,"2010: 55.4, 2011: 52.1, 2012: 48.5, 2013: 48.2, 2014: 43.5, 2015: 46.1, 2016: 46.2, 2017: 44, 2018: 43.8, 2019: 36.5, 2020: 29.2, 2021: 31.8, 2022: 31.2, 2023: 24.1, 2024: 23.3",23.3,23.3,Post Stage Four,Yes,-284712.640975304,6705600.36391359
32,307,Lamppost     Glenfrome Road \ Muller Road Horfield,2024,12,"2010: 46.6, 2011: 41.5, 2012: 39.5, 2013: 39.8, 2014: 38.4, 2015: 36.6, 2016: 37.4, 2017: 32.6, 2018: 37.3, 2019: 30.7, 2020: 24.6, 2021: 27.5, 2022: 26.8, 2023: 24.5, 2024: 21.6",21.6,21.6,Post Stage Four,Yes,-285709.878701319,6705846.59411472
33,312,Lamppost     Ashley Hill St. Pauls,2024,12,"2010: 46.8, 2011: 46.4, 2012: 43.7, 2013: 44.5, 2014: 36.7, 2015: 36.8, 2016: 41.6, 2017: 38.5, 2018: 38.5, 2019: 32.8, 2020: 26.2, 2021: 29.5, 2022: 29.8, 2023: 24.8, 2024: 23.5",23.5,23.5,Post Stage Four,Yes,-287167.355516468,6704691.02392647
34,320,Monitor     Bath Road Brislington,2024,36,"2010: 34.3, 2011: 33.1, 2012: 31.5, 2013: 31.1, 2014: 30.9, 2015: 31.3, 2016: 31.1, 2017: 30.7, 2018: 27.9, 2019: 23.5, 2020: 19.3, 2021: 20.8, 2022: 20.6, 2023: 17.7, 2024: 17",17,17,QAQC,Yes,-284969.788762769,6699810.45977789
35,325,Facade   258 Fishponds Road Fishponds,2024,12,"2010: 51.8, 2011: 53, 2012: 49.8, 2013: 45.8, 2014: 49.7, 2015: 50.8, 2016: 50.5, 2017: 49.2, 2018: 48.1, 2019: 39.4, 2020: 34.1, 2021: 37.3, 2022: 32.6, 2023: 29.4, 2024: 27.6",27.6,27.6,Post Stage Four,Yes,-284232.620635064,6705496.34843142
36,363,5102 façade,2024,11,"2010: 44.9, 2011: 47.4, 2012: 48, 2013: 44.3, 2014: 39.8, 2015: 39.2, 2016: 39.6, 2017: 38.5, 2018: 37.2, 2019: 34, 2020: 23.5, 2021: 26.8, 2022: 28, 2023: 23.8, 2024: 23.9",23.9,23.9,BROADMEAD,Yes,-288367.49785816,6703069.93538865
37,370,Great George Street lamppost,2024,11,"2010: 49.2, 2011: 43.7, 2012: 39.5, 2013: 39.4, 2014: 36.9, 2015: 37.7, 2016: 38.4, 2017: 37.5, 2018: 36.6, 2019: 30.1, 2021: 25, 2022: 31, 2023: 25.3, 2024: 21.2",21.2,21.2,BROADMEAD,Yes,-287244.687317758,6702918.28830893
38,373,123 Newfoundland Street façade,2024,11,"2010: 53, 2011: 47.9, 2012: 44.9, 2013: 45.2, 2014: 41.6, 2015: 38.3, 2016: 39.5, 2017: 38.5, 2018: 35.7, 2019: 31.2, 2020: 23.9, 2021: 27.9, 2022: 27.4, 2023: 22.3, 2024: 21.5",21.5,21.5,BROADMEAD,Yes,-287292.865269621,6703337.20318085
39,374,St. Paul Street,2024,12,"2010: 56.2, 2011: 56.2, 2012: 46.8, 2013: 50.7, 2014: 51.8, 2015: 47.1, 2016: 47.2, 2017: 45.2, 2018: 47.8, 2019: 39.9, 2020: 29.9, 2021: 35, 2022: 33.7, 2023: 27.1, 2024: 25.1",25.1,25.1,BROADMEAD,Yes,-287671.912995715,6703046.61290049
40,403,Lamp post 48 230 Bath Road,2024,12,"2010: 46.5, 2011: 43.9, 2012: 43.6, 2013: 46.6, 2014: 39.2, 2015: 41.5, 2016: 37.5, 2017: 35.7, 2018: 35.6, 2019: 28.1, 2020: 23.4, 2021: 25.5, 2022: 25.5, 2023: 20.2, 2024: 20.6",20.6,20.6,Post DA Facades,Yes,-286047.399122808,6699977.1677698
41,405,Whitehall Rd/Easton Rd lamppost 4TZ,2024,12,"2010: 57.8, 2011: 58, 2012: 53.1, 2013: 55, 2014: 51.1, 2015: 53.1, 2016: 42.6, 2017: 50.4, 2018: 56.2, 2019: 48.5, 2020: 38.7, 2021: 40.4, 2022: 38, 2023: 33.5, 2024: 33.6",33.6,33.6,Post DA Facades,Yes,-285203.139777754,6703303.7524392
42,406,Whitehall Rd lamppost 17 nr juction with Chalks Rd,2024,12,"2010: 48.1, 2011: 37.5, 2012: 36.5, 2013: 36.5, 2014: 34.9, 2015: 35.4, 2016: 36.2, 2017: 38.9, 2018: 38.5, 2019: 31, 2020: 26.6, 2021: 29.3, 2022: 29.6, 2023: 24.2, 2024: 23.2",23.2,23.2,Post DA Facades,Yes,-284362.720936092,6703411.38989974
43,413,Wells Rd bus lane sign just below junction with Knowle Rd,2024,12,"2010: 52.2, 2011: 47.1, 2012: 41.4, 2013: 43.7, 2014: 38.4, 2015: 39.3, 2016: 40, 2017: 38.7, 2018: 37.6, 2019: 31.2, 2020: 25.5, 2021: 27.4, 2022: 27.2, 2023: 23.5, 2024: 22.5",22.5,22.5,Post DA Facades,Yes,-286790.024426925,6699701.55784787
44,417,St John's Lane No 26 lamppost 15 (just past roundabout),2024,12,"2010: 51.3, 2011: 45.6, 2012: 44.1, 2013: 42.1, 2014: 40.8, 2015: 43.6, 2016: 43.4, 2017: 35.2, 2018: 36, 2019: 31, 2020: 26.3, 2021: 27.9, 2022: 27, 2023: 22.7, 2024: 20.9",20.9,20.9,Post DA Facades,Yes,-287442.243890537,6699543.83315549
45,418,Bedminster Down Rd lamppost between Ashton Motors & Plough PH,2024,12,"2010: 92.9, 2011: 90.5, 2012: 81.8, 2013: 74, 2014: 67.7, 2015: 63.7, 2016: 69.3, 2017: 58.4, 2018: 55.7, 2019: 51.1, 2020: 40.2, 2021: 45.9, 2022: 44.1, 2023: 32.8, 2024: 31.7",31.7,31.7,Post DA Facades,Yes,-290471.62510202,6698281.14621008
46,419,Parson St lamppost outside Bristol Scuba,2024,12,"2010: 63.2, 2011: 54.7, 2012: 54.1, 2013: 53.6, 2014: 56.6, 2015: 53.6, 2016: 55.8, 2017: 51.3, 2018: 45, 2019: 39, 2020: 31.4, 2021: 34.3, 2022: 33.6, 2023: 29.4, 2024: 28.5",28.5,28.5,Post DA Facades,Yes,-290320.090688617,6698353.05372706
47,420,North St/Dean Lane on roundabout sign,2024,10,"2010: 43.8, 2011: 39.6, 2012: 38.1, 2013: 38.9, 2014: 37.2, 2015: 36.7, 2016: 38.6, 2017: 33.3, 2018: 37.1, 2019: 30.4, 2020: 23.2, 2021: 25.6, 2022: 28.8, 2023: 23.7, 2024: 22.3",22.3,22.3,Post DA Facades,Yes,-289619.048853516,6699765.46194782
48,423,facade BRI children's,2024,12,"2010: 53, 2011: 53.2, 2012: 50.9, 2013: 46.3, 2014: 41.8, 2015: 44.4, 2016: 43.5, 2017: 45, 2018: 42.3, 2019: 35.2, 2020: 27.3, 2021: 29.5, 2022: 29.1, 2023: 22.2, 2024: 20.9",20.9,20.9,Post DA Facades,Yes,-289088.725742146,6702699.40590324
49,429,facade villiers road stapleton road junction,2024,12,"2010: 60.3, 2011: 57.8, 2012: 57.3, 2013: 60.6, 2014: 54.7, 2015: 50.4, 2016: 52.1, 2017: 47.8, 2018: 46.8, 2019: 41.2, 2020: 38.8, 2021: 36.4, 2022: 35.5, 2023: 38, 2024: 35.3",35.3,35.3,Post DA Facades,Yes,-286116.033413056,6703865.40916925
50,436,Shiners Garage,2024,11,"2010: 44.7, 2011: 40.9, 2012: 39.6, 2013: 40.1, 2014: 38.2, 2015: 37.9, 2016: 47.7, 2017: 45.8, 2018: 50.6, 2019: 42, 2020: 29.2, 2021: 31.2, 2022: 30.6, 2023: 24.4, 2024: 26.2",26.2,26.2,Roadside,Yes,-285259.212047081,6702675.18810556
51,438,A37 Junction w/ Airport Road,2024,36,"2010: 48, 2011: 47.7, 2012: 43.4, 2013: 43.5, 2014: 44, 2015: 43.1, 2016: 43.4, 2017: 43.2, 2018: 36.6, 2019: 31.8, 2020: 27.1, 2021: 29, 2022: 29.4, 2023: 25, 2024: 23.2",23.2,23.2,QAQC,Yes,-285394.401951542,6697329.73212812
52,439,Parson Street School,2024,36,"2010: 41.9, 2011: 40.9, 2012: 40.9, 2013: 44.7, 2014: 42, 2015: 41, 2016: 43.6, 2017: 37.7, 2018: 37.7, 2019: 31.7, 2020: 25.4, 2021: 28.6, 2022: 27.2, 2023: 24, 2024: 22.4",22.4,22.4,QAQC,Yes,-289982.448521423,6698188.87869929
53,455,St. Pauls Day Nursery,2024,36,"2010: 34.8, 2011: 30, 2012: 29.5, 2013: 30.1, 2014: 27.3, 2015: 26.5, 2016: 27.9, 2017: 26, 2018: 24.4, 2019: 20.8, 2020: 15.9, 2021: 16.4, 2022: 16.7, 2023: 14.3, 2024: 13.8",13.8,13.8,QAQC,Yes,-287711.369865179,6703574.84926661
54,464,Fishponds Road,2024,35,"2010: 42.2, 2011: 39.2, 2012: 38, 2013: 35.7, 2014: 36, 2015: 34.9, 2016: 36.9, 2017: 36.8, 2018: 34.4, 2019: 29.7, 2020: 24.2, 2021: 23.7, 2022: 24, 2023: 20.8, 2024: 20.8",20.8,20.8,QAQC,Yes,-282218.963762018,6706297.20472537
55,470,Victoria Park Primary,2024,12,"2010: 43.3, 2011: 39.4, 2012: 39.6, 2013: 37.8, 2014: 35, 2015: 38.7, 2016: 39.4, 2017: 35.9, 2018: 37.9, 2019: 29.4, 2020: 25.1, 2021: 26.8, 2022: 28.3, 2023: 24.2, 2024: 21.7",21.7,21.7,USA 2009,Yes,-288112.730275877,6698870.47455211
56,472,Jamiesons Autos,2024,11,"2010: 52.4, 2011: 47.4, 2012: 46.5, 2013: 48.2, 2014: 45.2, 2015: 40, 2016: 45.3, 2017: 41.6, 2018: 37.3, 2019: 33.7, 2020: 26.2, 2021: 28.7, 2022: 29, 2023: 25.8, 2024: 25.7",25.7,25.7,USA 2009,Yes,-289697.065688815,6699318.40485888
57,473,B&G Snax West St,2024,11,"2010: 49.2, 2011: 43.1, 2012: 44.6, 2013: 43.5, 2014: 40.7, 2015: 49.6, 2016: 57.1, 2017: 40.1, 2018: 44, 2019: 42.4, 2020: 40, 2021: 28.4, 2022: 28.4, 2023: 26.1, 2024: 25.7",25.7,25.7,USA 2009,Yes,-289888.728777705,6699059.90410014
58,487,Junction 3 Millpond Street,2024,12,"2013: 55.6, 2014: 47.4, 2015: 46.2, 2016: 45.7, 2017: 44.5, 2018: 41.9, 2019: 35.1, 2020: 27.7, 2021: 29.6, 2022: 36.8, 2023: 27.8, 2024: 24.1",24.1,24.1,JCT3,Yes,-286505.090102087,6704231.89916475
59,492,On 1 way sign at bottom of Wellington Hill,2024,12,"2015: 37.6, 2016: 40.3, 2017: 36.8, 2018: 34.8, 2019: 31.3, 2020: 25.2, 2021: 26.4, 2022: 27.5, 2023: 25.6, 2024: 23.7",23.7,23.7,Horfield Roadside,Yes,-287813.3061196,6707917.80129038
60,493,No 67 Filton Avenue on wall facing Muller Rd,2024,12,"2015: 36.2, 2016: 41.5, 2017: 41.9, 2018: 41.8, 2019: 37, 2020: 29.5, 2021: 31.8, 2022: 31.2, 2023: 27.4, 2024: 25.8",25.8,25.8,Horfield Roadside,Yes,-287443.0455096,6708131.34018296
61,494,Muller Road - Adjacent to Darnley Avenue,2024,12,"2015: 37.5, 2016: 43.3, 2017: 39.5, 2018: 38.7, 2019: 32, 2020: 25.1, 2021: 25, 2022: 26.4, 2023: 22.5, 2024: 21.6",21.6,21.6,Horfield Roadside,Yes,-287635.002115621,6708277.69693354
62,496,385 Church Road Redfield,2024,12,"2014: 42, 2015: 39.3, 2016: 41.1, 2017: 41.1, 2018: 39.2, 2019: 33, 2020: 25, 2021: 25.9, 2022: 26.7, 2023: 22.9, 2024: 20.2",20.2,20.2,Post Stage Four,Yes,-283206.866231794,6703121.26962694
63,497,20 Ashley Road,2024,12,"2014: 49.3, 2015: 41.8, 2016: 43.2, 2017: 42.4, 2018: 38, 2019: 29.1, 2020: 24.6, 2021: 27.1, 2022: 24.7, 2023: 24.8, 2024: 22.5",22.5,22.5,Post DA Facades,Yes,-288064.948651647,6703906.18922384
64,499,Temple Way Nox site,2024,29,"2017: 38.5, 2018: 43.2, 2019: 33.6, 2020: 26, 2021: 31.1, 2022: 30.9, 2023: 26.2, 2024: 23.9",23.9,23.9,QAQC,Yes,-287648.349706948,6702703.01974867
65,502,Co-located Colston Ave,2024,33,"2019: 68.7, 2020: 52.1, 2021: 58, 2022: 54.1, 2023: 48.9, 2024: 50.8",50.8,50.8,QAQC,Yes,-289057.625324914,6702224.17268152
66,512,Montpelier High School,2024,9,"2018: 47.6, 2019: 40.6, 2020: 30.7, 2021: 36.1, 2022: 36.2, 2023: 37.3, 2024: 36.6",36.6,36.6,Schools 2018,Yes,-288456.602514821,6704385.03888425
67,525,Summer hill a420,2024,12,"2018: 43.5, 2019: 35.3, 2020: 24.1, 2021: 28.5, 2022: 29.8, 2023: 24.8, 2024: 23.2",23.2,23.2,Schools 2018,Yes,-282952.907378995,6703230.79423347
68,539,Dalby avenue church lane,2024,9,"2018: 43.3, 2019: 35.6, 2020: 27.4, 2021: 30.9, 2022: 23.8, 2023: 26.6, 2024: 22.2",22.2,22.2,Schools 2018,No,-289101.117517916,6699495.11599353
69,545,Ashton park school,2024,12,"2018: 34.9, 2019: 28.6, 2020: 22, 2021: 24.3, 2022: 23.3, 2023: 17.2, 2024: 16.3",16.3,16.3,Schools 2018,Yes,-292657.041091682,6699537.53576006
70,550,Cathedral School,2024,8,"2018: 36.9, 2019: 35.1, 2020: 21.1, 2021: 29.1, 2022: 29.4, 2023: 24.7, 2024: 21.9",21.9,21.9,Schools 2018,Yes,-289511.138807,6701454.27154767
71,555,420 Hotwell Road A4,2024,12,"2019: 32, 2020: 26.5, 2021: 28, 2022: 28, 2023: 19.3, 2024: 17.8",17.8,17.8,2019,No,-292192.346360895,6701393.22836191
72,556,South Eastern stair access Plimsoll Bridge,2024,12,"2019: 37, 2020: 31.7, 2021: 35, 2022: 31.8, 2023: 23.9, 2024: 20.8",20.8,20.8,2019,Yes,-291951.375708127,6700935.93457146
73,559,Except local buses sign Blackmoors Lane,2024,11,"2019: 29, 2020: 19.8, 2021: 24.5, 2022: 24.2, 2023: 20.4, 2024: 20",20,20,2019,Yes,-292489.258406958,6699770.21822176
74,560,Lamppost outside BRI CAZ,2024,22,"2019: 40.4, 2020: 30.2, 2021: 32.2, 2022: 31.5, 2023: 25.6, 2024: 20.5",20.5,20.5,CAZ,No,-289022.128096125,6702785.09084199
75,561,Lamppost opposite BRI CAZ,2024,14,"2019: 47, 2020: 33.8, 2021: 36.7, 2022: 34.8, 2023: 24.7, 2024: 25.7",25.7,25.7,CAZ,Yes,-288985.174522769,6702772.54100723
76,565,A4018 Lamp post by layby before roundabout for Crow Ln/ Knole Ln,2024,12,"2019: 31.4, 2020: 24.5, 2021: 26.3, 2022: 24.4, 2023: 22.7, 2024: 22.8",22.8,22.8,A4018,Yes,-291402.555570038,6711865.98879971
77,567,Muller road/ Glenfrome road junction north,2024,12,"2019: 44, 2020: 41.3, 2021: 44.8, 2022: 43.2, 2023: 35.3, 2024: 34.4",34.4,34.4,,Yes,-285740.541935235,6705873.67575955
78,568,Traffic light on the corner of Shaldon road,2024,10,"2019: 36.2, 2020: 29, 2021: 32.9, 2022: 32.2, 2023: 28.2, 2024: 28.4",28.4,28.4,,Yes,-286627.518470074,6706564.22601791
79,569,Lampost on North corner of Draycott road junction with Muller road.,2024,12,"2019: 31.4, 2020: 22.8, 2021: 24.1, 2022: 24.1, 2023: 21.3, 2024: 21.4",21.4,21.4,,No,-287150.416060161,6707214.2389884
80,570,Muller road junction with Downend road lampost north of the junction.,2024,12,"2019: 33.1, 2020: 28.4, 2021: 28.2, 2022: 29.6, 2023: 26.2, 2024: 26.4",26.4,26.4,,Yes,-287166.452121254,6707620.76976991
81,571,Muller road junction with Downend road traffic light to the south of the junction.,2024,12,"2019: 42.8, 2020: 31.3, 2021: 33.1, 2022: 32.3, 2023: 28.4, 2024: 28.8",28.8,28.8,,Yes,-287164.493543001,6707575.77869199
82,574,"Whiteladies road, on loading sign next to Redland library",2024,11,"2020: 27.3, 2021: 28.9, 2022: 29.6, 2023: 25.8, 2024: 24.4",24.4,24.4,,Yes,-290613.993813206,6704041.12007481
